NumerOfFollowings,NumberOfFollowers,NumberOfTweets,LengthOfScreenName,LengthOfDescriptionInUserProfile,CreatedAt_encoded,CollectedAt_encoded,class
510,350,3265,10,34,1,1,0
304,443,4405,7,156,2,2,0
45,73,725,6,37,3,3,0
211,230,211,7,0,4,4,0
7346,7244,11438,8,97,5,5,0
898,1024,2897,8,56,6,6,0
53,131,566,9,11,7,7,0
754,4103,6181,6,0,8,8,0
140,222,1192,9,15,9,9,0
140,1329,17457,8,63,10,10,0
254,3639,8245,11,31,11,11,0
108,92,815,12,49,12,12,0
145,395,7468,6,28,13,13,0
189,1665,3180,9,20,14,14,0
70,322,4458,8,75,15,15,0
277,868,4693,10,128,16,16,0
87,94,269,8,18,17,17,0
242,722,16787,7,139,18,18,0
182,490,8384,15,51,19,19,0
71,174,300,13,110,20,20,0
259,485,4605,3,25,21,21,0
130,150,3498,4,117,22,22,0
672,780,6795,8,0,23,23,0
2855,5413,21166,12,158,24,24,0
133,160,549,7,11,25,25,0
262,325,2701,6,0,26,26,0
152,249,2871,8,69,27,27,0
235,385,50356,6,85,28,28,0
315,198,4694,9,84,29,29,0
234,1845,5411,7,70,30,30,0
191,1014,11653,6,35,31,31,0
127,151,3116,6,76,32,32,0
250,289,4238,7,75,33,33,0
350,488,2458,9,149,34,34,0
58,202,3876,4,26,35,35,0
13,43,640,7,0,36,36,0
41,66,808,8,0,37,37,0
165,396,5245,13,28,38,38,0
279,450,1900,6,73,39,39,0
35067,35122,24670,12,105,40,40,0
1001,885,8324,7,67,41,41,0
321,506,5837,9,101,42,42,0
37,10,679,7,7,43,43,0
101,128,2636,7,41,44,44,0
346,297,4619,5,28,45,45,0
75,64,1709,8,35,46,46,0
148,107,1821,12,27,47,47,0
172,188,2995,14,24,48,48,0
310,616,9006,9,159,49,49,0
76,221,1369,4,22,50,50,0
1,4721,20970,7,90,51,51,0
0,0,121,9,0,52,52,0
60,56,192,3,0,53,53,0
106,1277,1058,3,24,54,54,0
309,3663,12927,9,120,55,55,0
29,9,38,11,0,56,56,0
222,257,4051,15,147,57,57,0
425,598,2936,13,46,58,58,0
1347,1706,26073,9,65,59,59,0
388,263,9326,8,0,60,60,0
152,231,7373,6,47,61,61,0
168,1004,14697,6,11,62,62,0
481,955,7358,14,133,63,63,0
252,3438,10974,3,24,64,64,0
270,1544,17168,8,154,65,65,0
360,258,1922,7,33,66,66,0
9,78,164,4,37,67,67,0
128,255,1657,5,40,68,68,0
2248,2632,6427,9,139,69,69,0
207,187,2071,12,7,70,70,0
17,32,172,4,0,71,71,0
725,732,2283,6,117,72,72,0
269,444,8353,13,154,73,73,0
392,615,4812,12,70,74,74,0
1975,3364,1537,7,141,75,75,0
143,623,5101,8,158,76,76,0
615,890,6110,5,146,77,77,0
61,101,1475,6,41,78,78,0
4915,14065,13836,9,158,79,79,0
129,701,4168,11,45,80,80,0
875,1596,12969,11,143,81,81,0
1785,8103,29999,8,75,82,82,0
