verified,geo_enabled,profile_use_background_image,default_profile,followers_count,friends_count,listed_count,favourites_count,statuses_count,probe_timestamp_encoded,user_name_encoded,user_screen_name_encoded,user_description_encoded,user_created_at_encoded,url_encoded,lang_encoded,protected_encoded,class
0,0,0,0,481,870,26,6542,67025,1,1,1,1,1,1,1,1,0
0,0,0,0,202,712,5,1515,158,2,2,2,2,2,1,1,1,0
0,1,1,1,278,342,4,4780,4029,3,3,3,3,3,1,1,1,0
1,0,1,0,29546,384,402,143163,53427,4,4,4,4,4,2,1,1,0
0,1,1,1,95,668,1,1178,1315,5,5,5,5,5,1,1,1,0
1,0,1,0,157143,865,3177,2437,39649,6,6,6,6,6,3,1,1,0
0,0,1,1,72,309,0,1342,274,7,7,7,7,7,1,1,1,0
0,0,0,0,19024,7771,31,463821,70870,8,8,8,8,8,4,1,1,0
0,1,1,0,2671,798,55,713,2160,9,9,9,9,9,5,1,1,0
0,1,1,0,1379,2076,145,3605,21478,10,10,10,10,10,6,1,1,0
0,1,1,0,1527,4996,22,8071,2704,11,11,11,11,11,7,1,1,0
0,1,1,1,193,919,17,617,922,12,12,12,12,12,8,1,1,0
0,0,1,1,17,88,0,312,257,13,13,13,5,13,1,1,1,0
1,1,1,0,50865898,8320,67930,376,11335,14,14,14,13,14,9,1,1,0
0,1,0,0,2169,4292,4,7571,3189,15,15,15,14,15,10,1,1,0
0,1,1,1,63431,49012,352,240767,4484,16,16,16,15,16,11,1,1,0
0,1,0,0,30,27,0,721,960,17,17,17,16,17,1,1,1,0
0,0,0,0,4528,496,42,59982,7543,18,18,18,17,18,12,1,1,0
0,0,0,0,44,266,0,3445,244,19,19,19,18,19,1,1,1,0
0,0,1,1,1674,4563,27,394,1512,20,20,20,19,20,13,1,1,0
0,1,1,0,62,226,4,101,168,21,21,21,20,21,14,1,1,0
1,0,1,0,1242440,518,1135,22351,23639,22,22,22,21,22,15,1,1,0
0,1,0,0,265,102,12,827,611,23,23,23,22,23,1,1,1,0
1,0,1,0,10146,987,157,5168,26535,24,24,24,23,24,16,1,1,0
0,0,0,0,63,158,5,425,260,25,25,25,24,25,1,1,1,0
0,0,1,0,1600,1001,37,13183,11733,26,26,26,25,26,17,1,1,0
0,1,1,1,59650,46803,143,29301,16865,27,27,27,26,27,1,1,1,0
0,1,1,0,634,1511,26,18421,8226,28,28,28,27,28,18,1,1,0
0,1,0,0,168,104,7,227,174,29,29,29,28,29,19,1,1,0
1,1,0,0,9247,1475,330,40696,52392,30,30,30,29,30,20,1,1,0
0,1,1,0,180,227,17,194,400,31,31,31,30,31,21,1,1,0
0,1,1,0,1228,786,50,7540,3592,32,32,32,31,32,22,1,1,0
0,1,1,1,798,1804,31,10531,11764,33,33,33,32,33,23,1,1,0
0,0,1,1,3425,4558,30,57255,13962,34,34,34,33,34,1,1,1,0
0,1,1,1,37,164,0,2556,2736,35,35,35,5,35,1,1,1,0
0,1,1,0,53,810,0,349,439,36,36,36,5,36,1,1,1,0
0,0,0,0,32,215,1,2584,663,36,37,37,34,37,24,1,1,0
0,1,1,0,514,381,26,4001,4687,36,38,38,35,38,25,1,1,0
0,0,1,1,160,955,3,21328,5322,37,39,39,36,39,1,1,1,0
0,0,0,0,45,143,0,178,206,38,40,40,37,40,26,1,1,0
0,1,1,0,142,574,5,480,1376,39,41,41,38,41,1,1,1,0
0,0,1,1,63,87,2,2451,2887,40,42,42,39,42,1,1,1,0
0,1,0,0,8831,1147,141,11267,81566,41,43,43,40,43,1,1,1,0
0,1,1,1,410,901,18,466,3510,42,44,44,41,44,1,1,1,0
1,1,1,0,5238,822,197,3076,5018,42,45,45,42,45,27,1,1,0
0,0,1,0,215,960,30,30950,49682,43,46,46,43,46,1,1,1,0
0,0,0,0,21,44,0,129,79,44,47,47,44,47,1,1,1,0
0,0,1,1,276,181,1,4430,6479,45,48,48,45,48,1,1,1,0
0,1,1,0,728,429,44,290,1556,46,49,49,46,49,28,1,1,0
0,0,0,0,124,523,3,444,308,47,50,50,47,50,29,1,1,0
0,1,1,1,118,129,0,2205,311,48,51,51,48,51,1,1,1,0
0,1,0,0,10386,2068,298,524,6809,49,52,52,49,52,30,1,1,0
1,1,1,0,57153,20071,645,19221,39369,50,53,53,50,53,31,1,1,0
0,1,1,1,365,356,0,6860,1943,51,54,54,5,54,32,1,1,0
0,1,1,1,914,2737,10,103996,17423,52,55,55,51,55,33,1,1,0
0,0,1,1,154,733,0,26908,1522,53,56,56,5,56,1,1,1,0
0,0,1,1,193,390,0,13496,3459,54,57,57,52,57,1,1,1,0
0,0,0,0,172,263,2,24285,34519,55,58,58,53,58,34,1,1,0
0,0,1,1,54,163,0,3252,1101,56,59,59,54,59,1,1,1,0
1,1,1,0,1329856,353,1144,2532,14290,57,60,60,55,60,35,1,1,0
0,1,1,1,209,1501,5,1011,3202,58,61,61,56,61,1,1,1,0
0,1,1,1,140,139,0,1109,312,59,62,62,5,62,36,1,1,0
0,0,1,0,3690,1370,293,18310,31385,60,63,63,57,63,37,1,1,0
0,0,1,0,160,621,1,228,2103,61,64,64,58,64,1,1,1,0
0,1,1,0,538,346,4,180,474,62,65,65,59,65,1,1,1,0
0,0,0,0,131,276,7,820,1389,63,66,66,60,66,1,1,1,0
0,0,1,0,40,194,1,604,2619,64,67,67,61,67,1,1,1,0
0,0,0,0,154,294,4,348,520,65,68,68,62,68,38,1,1,0
0,1,1,0,1437,313,30,11684,22786,66,69,69,63,69,39,1,1,0
0,1,0,0,487,506,4,32834,13140,67,70,70,64,70,1,1,1,0
0,1,0,0,1158,765,30,4221,14370,68,71,71,65,71,1,1,1,0
0,1,1,0,1610,1658,10,969,676,69,72,72,66,72,40,1,1,0
0,0,1,1,57,43,1,1973,275,70,73,73,67,73,1,1,1,0
0,1,0,0,151,201,3,15413,3209,71,74,74,68,74,1,1,1,0
0,1,1,0,2010,556,47,4219,8514,72,75,75,69,75,41,1,1,0
0,0,1,1,93,236,27,194,14506,73,76,76,70,76,1,1,1,0
0,1,0,0,19065,18983,25,35068,18753,74,77,77,71,77,1,1,1,0
0,1,1,0,431,518,3,32216,10104,75,78,78,72,78,1,1,1,0
0,0,1,0,884,1229,3,20246,14125,76,79,79,73,79,1,1,1,0
0,1,1,0,9839,2487,32,18653,85875,77,80,80,74,80,42,1,1,0
0,0,1,0,499,619,64,4521,13163,78,81,81,75,81,1,1,1,0
0,0,1,1,45954,39280,124,90980,46307,79,82,82,76,82,43,1,1,0
0,1,1,0,818,465,7,5943,1199,80,83,83,77,83,44,1,1,0
0,0,1,1,8185,8775,5,90748,17724,81,84,84,78,84,1,1,1,0
1,1,1,0,95685,8138,1846,70041,29688,82,85,85,79,85,45,1,1,0
0,0,1,0,303,1019,13,11926,20432,83,86,86,80,86,46,1,1,0
0,0,1,1,462,600,0,2432,1005,84,87,87,81,87,1,1,1,0
0,0,1,1,69,369,6,3292,1439,85,88,88,82,88,1,1,1,0
0,1,0,0,948,1015,16,23576,14393,86,89,89,83,89,47,1,1,0
0,0,1,1,5,38,0,73,78,87,90,90,84,90,1,1,1,0
0,0,1,1,41,241,1,5378,1415,87,91,91,5,91,1,1,1,0
0,1,0,0,250,331,4,8096,6478,88,92,92,5,92,1,1,1,0
0,0,1,0,179,289,7,2173,1656,89,93,93,85,93,1,1,1,0
0,0,1,1,11,121,1,576,76,90,94,94,5,94,1,1,1,0
0,1,1,1,100,634,0,26802,1468,91,95,95,5,95,1,1,1,0
0,0,1,1,208,656,7,5518,3302,92,96,96,5,96,1,1,1,0
0,1,1,0,8653,274,126,1066,2232,93,97,97,86,97,48,1,1,0
0,0,1,1,12,159,0,66,4080,94,98,98,87,98,1,1,1,0
0,0,1,1,133062,52271,777,36425,52101,95,99,99,88,99,1,1,1,0
0,0,1,1,23,485,0,17,237,96,100,100,5,100,1,1,1,0
0,1,1,0,1971,5002,127,9260,10131,97,101,101,89,101,1,1,1,0
0,0,0,0,172,1016,0,17503,7146,98,102,102,90,102,1,1,1,0
0,0,1,0,96086,1412,267,6939,12489,99,103,103,91,103,1,1,1,0
0,0,1,1,2625,3210,100,9114,8077,100,104,104,92,104,49,1,1,0
0,0,1,1,68,289,0,159,117,101,105,105,93,105,1,1,1,0
0,1,0,0,226,68,26,973,2222,102,106,106,5,106,1,1,1,0
0,1,1,0,621,349,2,35506,7191,103,107,107,94,107,1,1,1,0
0,1,1,1,260,229,1,5238,2479,104,108,108,5,108,50,1,1,0
0,0,1,1,3847,4421,1,6040,2588,105,109,109,95,109,1,1,1,0
0,1,1,0,71,136,1,973,251,106,110,110,96,110,51,1,1,0
0,0,1,0,348,575,26,2657,8431,107,36,111,97,111,1,1,1,0
0,0,0,0,67,219,1,4315,2318,108,111,112,98,112,52,1,1,0
1,1,1,0,99631,516,1288,20049,43823,109,112,113,99,113,53,1,1,0
0,1,1,0,376,530,4,6641,2468,110,113,114,100,114,54,1,1,0
0,1,1,0,15144,8678,53,5633,1593,111,114,115,101,115,1,1,1,0
0,1,1,0,5439,1826,199,1092,32847,112,115,116,102,116,55,1,1,0
0,0,1,0,11978,488,117,74161,37162,113,116,117,103,117,56,1,1,0
