class,contributors_enabled,default_profile,default_profile_image,favourites_count,follow_request_sent,followers_count,following,friends_count,geo_enabled,has_extended_profile,is_translation_enabled,is_translator,listed_count,notifications,profile_background_tile,profile_use_background_image,statuses_count,utc_offset,verified,created_at_encoded,created_at_user_encoded,display_url_encoded,expanded_url_encoded,lang_encoded,profile_background_color_encoded,profile_background_image_url_encoded,profile_background_image_url_https_encoded,profile_banner_url_encoded,profile_image_url_encoded,profile_image_url_https_encoded,profile_link_color_encoded,profile_sidebar_border_color_encoded,profile_sidebar_fill_color_encoded,profile_text_color_encoded,time_zone_encoded,translator_type_encoded,url_encoded,url_urls_url_encoded,user_description_encoded,user_location_encoded,user_name_encoded,user_screen_name_encoded
1,0,0,0,2,0,23,0,8,0,1,0,0,1,0,0,0,3792,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,34,0,322,0,8,0,0,0,0,21,0,1,1,407226,0,0,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
1,0,1,0,1933,0,171,0,86,0,0,0,0,32,0,0,1,15668,0,0,3,3,3,3,1,3,1,1,3,3,3,3,3,3,2,1,1,3,3,3,3,3,3
1,0,1,0,15,0,3374,0,9,0,0,0,0,146,0,0,1,5087,0,0,4,4,4,4,1,3,1,1,4,4,4,3,3,3,2,1,1,4,4,4,4,4,4
1,0,0,0,1,0,7,0,2,0,0,0,0,4,0,0,0,2813,0,0,5,5,5,5,1,1,1,1,3,5,5,4,1,1,1,1,1,5,5,5,5,5,5
1,0,0,0,0,0,3968,0,15,0,1,0,0,110,0,0,0,17685,0,0,6,6,6,6,1,1,1,1,5,6,6,5,1,1,1,1,1,6,6,6,6,6,6
1,0,0,0,5,0,277,0,25,0,0,0,0,6,0,0,0,3046,0,0,7,7,7,7,1,1,1,1,6,7,7,6,1,1,1,1,1,7,7,7,6,7,7
1,0,1,0,0,0,55,0,1,0,0,0,0,10,0,0,1,1961,0,0,8,8,8,8,1,4,3,3,7,8,8,3,3,3,2,1,1,8,8,8,6,8,8
1,0,1,0,52,0,177,0,0,0,0,0,0,36,0,0,1,9166,0,0,9,9,9,9,1,4,3,3,8,9,9,3,3,3,2,1,1,9,9,9,6,9,9
1,0,1,0,229,0,106,0,1,0,0,0,0,20,0,0,1,10279,0,0,10,10,10,10,1,3,1,1,9,10,10,3,3,3,2,1,1,10,10,10,6,10,10
1,0,1,0,0,0,15,0,1,0,0,0,0,14,0,0,1,1246,0,0,11,11,11,11,1,3,1,1,3,11,11,3,3,3,2,1,1,11,11,11,7,11,11
1,0,0,0,7,0,13,0,7,0,0,0,0,2,0,0,0,1951,0,0,12,12,12,12,1,1,1,1,10,12,12,7,1,1,1,1,1,12,12,12,6,12,12
1,0,0,0,20,0,101,0,81,0,0,0,0,4,0,0,1,23227,0,0,13,13,13,13,1,5,1,1,11,13,13,8,1,1,1,1,1,13,13,13,8,13,13
1,0,0,0,0,0,22,0,1,0,0,0,0,1,0,0,0,445,0,0,14,14,14,14,1,1,1,1,12,14,14,9,1,1,1,1,1,14,14,14,9,14,14
1,0,1,0,0,0,19,0,0,0,0,0,0,4,0,0,1,2513,0,0,15,15,8,8,1,4,3,3,13,15,15,3,3,3,2,1,1,8,8,15,6,15,15
1,0,0,0,35,0,3274,0,9,0,0,0,0,29,0,0,0,19812,0,0,16,16,8,8,1,1,1,1,14,16,16,4,1,1,1,1,1,8,8,16,6,16,16
1,0,0,0,2,0,8,0,24,0,0,0,0,1,0,0,0,2505,0,0,17,17,15,15,1,1,1,1,15,17,17,5,1,1,1,1,1,15,15,17,10,17,17
1,0,0,0,5,0,436,0,1,1,1,0,0,5,0,0,0,3267,0,0,18,18,16,16,1,1,1,1,16,18,18,8,1,1,1,1,1,16,16,18,11,18,18
1,0,0,0,2,0,36,0,3,0,0,0,0,2,0,0,0,8462,0,0,19,19,8,8,1,1,1,1,17,19,19,10,1,1,1,1,1,8,8,19,6,19,19
1,0,1,0,1,0,56,0,2,0,0,0,0,4,0,0,1,9421,0,0,20,20,17,17,1,4,3,3,18,20,20,3,3,3,2,1,1,17,17,20,12,20,20
1,0,0,0,478,0,9109,0,7,0,0,0,0,46,0,0,0,39977,0,0,21,21,8,8,1,1,1,1,19,21,21,11,1,1,1,1,1,8,8,21,13,21,21
